Recommended_Calories,Recommended_Protein,Recommended_Carbs,Recommended_Fats
2582,68,182,49
2011,77,87,101
1297,70,267,132
3068,172,147,102
1360,110,199,94
2541,183,386,95
2108,64,193,134
1646,163,268,29
3194,187,255,130
3077,126,106,62
2552,180,172,160
2441,190,266,80
955,195,261,104
1449,78,411,105
1542,126,123,130
2048,79,164,84
2409,116,323,102
3062,74,190,130
1729,173,124,106
2682,193,349,49
1426,115,364,159
2560,104,163,72
2768,91,383,128
2755,178,138,95
935,115,305,75
1370,202,220,148
1600,122,301,129
1322,160,311,57
2987,106,266,35
1447,174,408,108
2614,154,377,139
1373,179,322,119
1477,149,374,106
1155,119,164,120
2120,177,153,111
2343,183,295,32
1763,110,404,68
2983,163,136,127
2072,104,102,147
2252,165,238,142
2869,200,188,74
2893,84,127,43
2375,112,250,141
979,84,297,54
3219,72,226,44
1104,111,275,83
2205,65,271,125
2657,186,167,123
2659,174,308,53
1684,78,260,48
1066,146,366,80
1006,137,384,37
2169,93,283,98
3125,178,198,73
1590,199,277,68
2654,61,320,45
1930,141,201,37
1257,63,292,92
937,68,272,58
2842,101,254,161
842,167,351,94
2486,155,334,80
1681,188,216,60
2766,74,352,66
2968,191,334,55
2776,118,292,19
2162,171,363,84
2311,101,278,39
2711,85,238,63
2233,140,285,138
872,87,227,32
2105,85,124,21
1970,182,98,34
2072,196,168,64
2659,94,208,90
2903,136,368,53
2863,70,140,73
2353,83,179,103
1978,74,416,134
1166,52,246,44
2728,97,158,143
2315,161,141,49
3107,86,278,52
1475,58,150,94
2621,124,128,135
767,201,379,34
895,77,149,70
2009,145,324,159
2264,144,268,60
1758,208,398,46
2736,123,382,121
1117,100,115,62
1422,188,181,73
2424,123,337,115
1272,138,270,48
3173,138,145,45
1867,195,212,102
2201,66,212,86
2430,71,287,142
1555,145,441,118
1832,193,235,111
2097,178,126,95
3291,107,209,78
2095,209,113,69
2995,135,283,74
1153,76,241,126
1763,173,233,73
1100,152,217,62
1694,154,223,119
2545,168,215,82
1491,164,260,55
2103,172,163,119
1731,117,118,131
1354,124,271,123
2430,75,367,54
3148,96,84,147
1888,181,140,77
2210,94,242,44
1144,119,113,148
2838,157,303,90
1240,136,347,100
3221,93,343,38
2435,142,236,131
2986,154,323,17
1330,81,171,103
770,186,399,32
1280,96,196,141
968,167,298,128
1911,132,136,152
2316,141,187,88
1341,61,365,129
1002,117,222,52
2189,157,142,55
1871,201,161,85
2236,79,88,43
3010,148,279,85
2818,84,368,63
2871,194,205,50
3016,132,121,155
1768,105,291,142
869,193,250,11
2697,189,408,52
1990,100,267,40
1081,184,383,41
1263,131,135,64
1987,60,289,107
1076,171,382,15
1429,123,192,113
2579,74,373,66
1110,154,151,103
1607,111,347,132
2058,152,308,154
3019,167,277,88
1802,98,417,150
3181,172,272,124
1504,143,105,132
1017,86,287,77
838,146,262,40
2475,160,158,155
1761,154,222,51
1327,69,317,77
1821,178,290,158
2635,125,302,66
2505,155,305,149
1128,153,234,41
2472,138,163,69
1142,161,297,17
1028,118,291,70
1145,91,198,65
3202,191,140,84
2258,95,393,127
2581,127,301,35
1103,128,280,116
1609,199,147,21
1359,59,213,127
2048,165,326,49
3091,117,280,59
1673,89,96,66
2842,122,131,85
1207,75,317,63
2970,182,288,24
1609,167,267,98
2189,149,269,153
3046,160,194,34
1701,160,250,21
949,162,263,165
1058,164,393,64
2622,183,272,72
1062,113,203,98
2691,148,85,61
2489,106,116,132
1068,183,329,126
1441,135,240,62
1664,93,157,118
1584,125,230,89
2671,157,209,71
1426,194,203,112
1874,107,232,27
850,94,364,108
1500,57,380,133
2476,160,89,135
2754,184,346,109
911,70,148,50
3025,98,354,151
2297,122,171,65
2553,78,155,45
2112,86,287,110
2168,130,309,100
2602,157,425,76
1746,65,184,95
1402,204,322,130
2640,172,307,48
2304,154,252,120
1862,169,294,52
2177,114,259,145
2041,205,322,121
1893,161,380,135
1815,178,347,129
3089,163,231,16
1476,66,360,150
2995,157,358,97
1967,59,89,113
1144,177,275,138
2592,78,289,130
1382,182,398,121
2469,73,217,155
2781,78,140,66
2559,87,169,24
1776,122,398,75
2694,190,107,63
2190,191,297,29
2533,192,332,87
2660,113,208,114
2885,156,163,96
1845,143,307,46
1298,151,222,25
2372,63,353,153
1748,131,225,33
1355,112,352,37
1435,158,313,31
1807,184,326,139
1100,157,334,85
1000,110,417,129
1043,88,235,24
1767,92,167,41
745,56,104,95
3024,197,275,63
2848,202,173,81
2013,71,347,134
1213,87,140,93
1403,78,127,74
2561,108,370,43
2589,57,327,131
2847,64,316,55
1034,147,200,93
2454,149,279,46
890,140,170,63
1008,106,133,59
1201,195,228,54
3274,194,297,55
1204,111,110,38
2163,72,217,154
903,89,131,136
1371,193,372,136
1083,179,435,101
1607,166,206,125
1084,85,203,96
1660,167,125,47
1900,74,258,117
2740,159,247,31
1675,49,221,106
3067,49,211,78
1557,134,147,94
1497,161,361,88
2034,140,349,40
1623,156,140,14
2677,172,178,104
1776,118,339,44
3144,75,245,110
1560,83,344,72
1896,86,133,154
3054,170,202,146
1661,101,433,66
1371,53,286,101
1046,148,328,87
1181,73,115,108
2926,142,387,62
2854,197,279,35
2225,184,345,102
1027,159,284,89
2815,88,131,106
829,94,325,50
2534,67,338,129
1659,159,333,118
1600,180,102,71
728,152,170,142
2466,119,422,85
2265,66,66,119
2779,110,197,132
2777,161,413,89
2700,99,317,123
2778,161,299,90
2076,66,375,117
2116,110,191,142
2061,48,97,65
3216,128,157,113
2733,195,227,56
1838,57,288,29
2855,123,131,110
2403,138,303,34
2380,184,391,30
2489,123,406,130
3103,82,82,91
1355,156,337,25
2870,155,210,124
2488,150,390,104
1266,189,287,103
1582,164,208,114
2781,69,159,111
1366,137,320,92
1113,60,185,63
1264,160,381,34
3066,100,402,71
2536,112,376,76
2147,126,278,77
997,71,222,133
2565,174,351,144
1068,188,252,124
1920,163,158,141
1631,205,390,135
1030,112,355,126
1630,164,304,144
2364,59,253,141
1622,131,186,86
1406,184,414,50
1708,86,90,64
1840,167,103,37
1028,65,383,56
2494,149,371,48
2958,82,170,146
3012,68,407,128
1231,83,273,97
2600,105,264,75
1360,192,119,129
2276,63,282,59
1901,119,296,162
1030,175,123,66
2470,59,354,144
2544,94,133,69
2610,69,121,141
1110,165,291,159
3081,81,244,18
3197,51,92,128
2626,112,145,118
1043,133,186,132
1349,186,83,39
1007,67,336,127
1532,59,263,137
1814,200,116,109
1223,127,297,118
2640,164,236,119
3153,198,216,100
2794,211,161,126
2925,111,334,113
3075,70,238,118
1634,150,309,31
1906,129,270,42
1527,128,215,118
881,89,206,106
1744,143,206,70
2292,165,249,157
2539,52,99,53
1837,81,167,90
2719,158,337,132
2408,88,258,64
2709,187,143,147
2448,69,245,113
2156,161,219,58
1472,150,181,71
1004,115,143,111
965,177,410,103
3050,197,234,45
2465,89,185,113
2104,131,156,69
1622,129,149,37
1002,158,338,144
2447,147,373,93
2822,146,313,100
1637,135,125,85
1181,75,118,60
3212,209,386,77
2962,54,280,141
2052,102,349,105
1806,187,431,100
2974,70,292,144
2430,140,206,143
2255,188,276,107
1726,114,171,102
3088,125,374,145
1964,151,329,29
2583,81,137,74
2256,93,158,96
2960,71,175,164
2618,134,113,58
2085,151,348,48
2224,71,262,94
2824,117,419,53
1947,177,334,32
1199,62,241,42
1325,154,183,86
2473,169,284,17
968,79,139,59
3016,58,431,89
3089,161,232,97
1275,166,243,39
2521,89,324,69
2064,128,224,95
2765,165,137,46
2448,176,370,143
1538,101,193,89
1458,132,145,48
1699,158,132,92
2199,123,221,119
2371,173,350,30
1396,118,272,53
1203,75,230,77
2159,101,241,163
1301,134,228,49
2644,145,255,123
2343,131,379,25
1132,172,315,103
1442,107,219,84
2543,200,245,31
1794,148,206,142
1782,116,152,74
2248,186,331,121
1475,106,326,143
2556,93,190,10
1553,145,118,115
1427,80,189,29
1370,147,119,141
2233,163,215,100
2823,139,113,101
1797,165,246,63
1988,122,260,103
1505,99,353,77
1948,127,278,27
1619,134,155,51
1959,128,325,79
1469,68,154,133
1834,118,194,120
1849,107,308,88
2642,66,147,100
1171,163,297,125
2236,175,339,80
3237,86,222,40
907,163,160,30
2159,128,172,130
1943,82,203,132
2237,204,211,87
1160,69,352,77
2799,108,168,111
2058,88,340,73
755,96,244,99
1882,111,167,15
1519,198,93,131
1709,105,230,50
2353,135,266,107
1493,55,379,85
1881,123,282,50
1824,134,355,57
2168,169,160,122
2726,208,236,63
3059,50,242,59
3064,152,254,94
2709,87,328,59
996,52,306,121
2041,188,213,59
2433,153,298,106
1110,184,238,101
1052,81,381,116
2411,174,159,89
1381,128,225,45
2195,45,333,110
1314,175,256,134
960,184,399,145
3002,132,383,90
1214,171,354,76
1034,174,255,151
1066,168,365,60
2239,116,430,128
3146,59,351,29
2024,88,88,124
2430,110,173,88
2648,194,222,102
860,70,210,113
2615,140,336,67
2152,78,291,149
1041,165,200,35
2107,92,199,69
1298,178,359,51
1413,134,149,31
1610,113,294,75
1674,151,375,130
1789,158,344,53
2156,91,170,80
1215,74,283,142
3256,167,217,108
833,112,238,58
1612,56,282,51
1055,207,267,115
1897,122,131,105
1501,110,420,118
2154,85,159,94
1013,93,253,98
2421,67,390,79
1749,193,245,48
2201,150,170,79
1951,77,143,44
3073,120,245,139
3107,92,196,96
808,155,240,117
2995,129,206,114
1917,60,223,30
1411,98,205,132
2457,186,439,58
1717,193,229,119
2724,119,257,125
1701,82,209,162
3187,147,169,126
2885,112,340,76
1252,127,270,134
3357,171,314,33
1714,59,341,133
2434,158,199,137
2977,204,218,142
3032,141,150,50
2089,138,390,32
3057,200,204,113
1382,176,268,128
1020,173,149,126
1271,119,201,27
2885,112,362,127
2415,170,98,46
2167,108,216,109
1467,72,74,160
1183,160,312,69
1719,92,258,106
3215,201,228,42
1628,60,339,101
2791,97,101,35
1995,108,279,122
1012,183,128,41
2147,151,338,122
1909,97,185,50
1798,113,252,88
2688,170,297,34
954,181,235,34
2979,122,278,123
952,170,342,67
1431,104,204,125
1662,102,392,61
2001,93,302,63
3232,102,340,110
2119,73,179,82
1718,75,226,133
2931,127,249,29
1777,104,364,93
2404,164,146,122
1414,55,202,43
1500,119,390,101
1485,130,365,137
3103,134,352,130
1048,164,141,47
2660,76,97,119
1089,140,396,88
2738,198,145,69
2667,153,363,103
1069,149,317,102
1612,112,402,39
1581,121,300,132
2104,90,314,86
3038,63,386,83
2809,52,93,151
1314,73,268,60
1702,178,167,78
2002,74,210,92
2937,109,318,134
2357,129,211,80
3324,134,407,151
2590,136,233,97
1388,151,378,42
2585,156,199,51
1207,192,325,105
2377,136,310,120
1587,190,319,38
1119,102,344,110
1103,122,277,39
2548,183,352,112
1526,160,184,39
3259,190,390,26
2699,133,151,73
1116,134,186,159
1401,137,435,111
3061,79,323,133
1860,162,154,116
1867,116,204,91
2418,124,72,37
2898,68,227,106
2928,130,283,112
2857,140,192,41
1929,196,259,41
2109,151,165,44
1180,112,267,136
1031,144,290,60
2185,147,385,104
2694,183,261,51
1495,209,350,102
2905,119,407,91
974,105,335,96
2021,52,237,12
1718,159,180,54
2988,160,282,125
3223,137,199,96
2351,116,199,48
1534,65,210,62
1800,81,373,107
2393,79,356,31
1300,186,290,142
1284,106,220,51
1527,136,125,38
891,57,394,55
1094,154,188,111
2228,186,176,55
2367,86,339,59
2103,48,208,153
2361,90,217,128
2047,182,215,41
1783,61,262,74
1081,126,108,127
1206,179,169,27
1549,134,340,112
1859,191,356,116
2745,98,175,113
2361,135,152,88
2035,141,210,148
1144,187,370,47
1257,173,264,97
1770,143,321,124
2194,185,141,24
1954,179,175,144
1867,53,195,116
2471,207,141,50
1745,128,156,34
2488,165,319,62
1587,171,161,142
1535,127,356,94
2999,141,182,144
1632,62,346,71
2652,188,244,22
2960,206,222,144
902,155,328,104
2181,89,329,150
1406,106,80,68
889,62,287,66
2213,113,318,112
1364,50,223,57
2899,47,347,93
1359,144,244,145
1777,131,346,78
1465,191,378,45
900,183,340,126
2638,72,372,107
1732,94,361,119
993,73,288,114
2135,130,145,72
2876,62,198,76
2210,144,378,75
1525,149,169,164
1323,142,147,47
2803,105,266,16
2402,172,411,107
1587,165,323,113
2466,145,183,31
2490,99,173,74
1753,87,172,45
2998,80,88,48
2672,75,274,133
1001,99,250,37
1418,174,75,136
1040,159,387,157
1933,119,181,117
2898,182,227,98
1611,141,384,33
1354,123,356,119
2109,108,271,87
875,140,343,36
1284,200,169,99
1303,162,369,75
1323,189,131,110
1634,110,289,141
988,64,377,127
1574,205,333,68
839,58,241,58
2764,58,259,43
1091,146,270,29
3104,45,280,108
2719,206,329,28
1344,70,379,72
930,130,108,59
2808,86,395,38
1705,144,142,64
3183,190,225,102
2569,84,338,124
2115,72,365,96
1840,156,146,77
1202,89,281,122
985,129,118,102
2845,53,219,97
3022,149,234,94
2466,58,362,140
2118,139,155,95
2161,160,282,145
1954,170,193,166
2626,137,167,40
2965,100,218,100
3009,165,273,55
2263,111,240,93
2387,162,223,116
3152,161,97,159
1053,196,150,77
2349,153,77,76
1172,188,290,44
2927,93,240,119
1238,69,92,86
1264,167,215,146
1364,76,288,128
1537,126,211,103
1422,63,271,37
1516,75,212,56
1844,78,280,125
2293,47,188,53
1241,150,229,55
1724,87,359,52
1681,173,316,158
932,110,131,150
2941,157,142,57
2314,125,333,137
2895,87,251,157
2377,181,334,102
1839,131,297,52
2124,134,137,100
1246,189,309,74
2717,183,142,160
1687,102,396,78
2811,146,249,150
2430,81,288,102
2925,163,280,103
3023,168,149,130
2311,161,92,131
2097,162,332,98
3027,122,191,121
2616,72,271,85
2045,96,258,88
2913,201,241,114
1875,90,298,145
1755,112,341,57
2398,184,215,59
3024,192,280,68
1957,126,257,51
1345,206,365,22
1287,185,233,154
1400,185,189,36
2150,108,139,145
2518,86,342,78
3189,77,288,116
2331,158,80,65
1703,54,198,161
1186,129,394,120
2138,70,128,24
1076,184,103,52
1865,115,368,89
2286,100,390,64
2228,185,324,106
2593,91,385,129
2795,119,233,132
954,99,385,76
3257,91,224,46
1619,56,195,37
2902,171,66,42
2090,76,218,56
1205,80,365,95
955,195,139,133
1290,176,208,55
2485,70,168,100
1107,139,403,121
2204,76,350,151
1596,144,269,116
954,84,262,147
2631,187,415,131
2047,130,340,45
1085,58,389,100
1130,126,125,28
2802,113,265,103
1335,152,222,59
959,72,323,111
2242,166,104,68
2696,203,414,43
930,94,365,132
2479,165,265,44
2033,177,235,67
1516,185,134,133
2677,171,192,81
2381,184,352,104
1684,155,327,59
3028,102,154,104
2614,155,390,146
2767,191,300,134
1263,148,330,137
965,151,341,93
2035,166,81,49
1368,100,309,73
3043,69,342,80
1793,149,366,68
1899,201,201,40
3305,189,247,137
1381,193,304,135
3000,140,113,22
2393,156,219,53
1249,80,163,51
1681,158,245,94
1456,114,398,28
1411,128,93,96
3090,117,123,104
2764,192,205,39
2239,198,335,47
1042,162,238,158
1625,129,343,107
3143,192,352,37
1344,109,218,55
2668,206,230,136
2414,151,352,78
2218,131,332,95
787,90,211,96
2816,179,130,58
2642,154,229,99
1979,176,204,146
2435,154,346,86
1380,139,127,57
2846,70,315,39
1769,167,358,74
2482,163,194,117
1500,179,337,51
1104,110,382,124
2317,77,264,79
3250,167,223,32
2756,68,391,126
2793,103,245,37
2919,108,310,112
2782,147,384,99
2571,156,111,94
2881,124,143,51
2584,69,299,64
2449,69,217,139
1032,131,152,124
2208,177,257,57
2100,102,174,92
1589,104,203,111
1869,118,220,57
3252,172,164,105
2854,72,341,135
3163,190,108,118
2818,171,127,115
1839,138,331,121
2153,116,291,55
1637,69,415,63
1222,126,131,120
1956,89,318,95
1580,84,144,87
2385,181,365,99
1682,168,322,113
2606,108,252,158
2257,105,283,35
1149,124,308,143
2520,200,311,129
1848,106,285,72
863,140,286,63
2247,162,188,162
2209,188,190,23
2276,69,144,149
1059,143,174,25
2881,72,230,78
1073,74,195,138
2950,184,279,44
2232,131,175,50
1668,177,228,87
1636,168,149,93
2161,112,224,65
1238,186,385,85
871,147,102,71
995,87,213,121
2580,159,404,15
1321,71,178,51
1278,161,220,31
1139,177,339,57
1168,118,330,34
1258,82,407,73
1316,198,235,151
1842,144,321,113
2707,83,422,104
1391,60,179,126
2095,49,356,67
1254,78,326,77
2968,136,302,31
2716,176,337,56
1415,167,252,113
2069,80,350,84
1458,180,184,69
1119,139,220,144
1621,146,378,114
2537,128,364,48
1076,99,216,116
2733,85,270,125
2461,73,276,126
1352,148,218,117
2878,189,396,100
2565,167,121,162
1691,134,368,128
3107,111,159,98
2926,198,195,137
2381,72,169,114
2039,177,312,31
1953,129,435,111
3080,62,267,128
2503,104,279,55
998,87,310,114
1317,187,409,115
2544,151,345,23
1873,112,224,83
1159,123,203,62
3096,125,326,37
2842,68,230,40
1999,106,207,71
2287,177,237,104
1967,119,390,147
2207,161,199,110
1724,90,354,107
2552,172,332,88
2374,165,222,79
2424,141,211,156
1838,204,401,122
2523,70,420,140
1652,72,113,69
3099,135,143,60
1068,80,179,96
1373,123,150,111
856,70,400,145
3244,150,203,111
2666,178,337,28
1011,86,123,163
1147,77,234,121
2149,189,345,31
2042,176,196,45
1221,76,138,104
1064,201,348,63
2103,186,84,54
2512,86,432,112
859,88,401,49
2373,184,283,74
2222,198,171,99
2275,64,251,59
2269,191,391,132
2606,159,241,86
3204,163,135,107
2279,177,296,72
1977,130,103,91
1763,91,349,125
2732,126,155,49
2974,191,176,33
1868,180,387,72
2935,157,173,96
1938,147,366,63
3082,107,424,98
1088,123,138,118
2644,172,165,111
2511,188,329,32
1602,104,365,106
1511,71,190,51
2194,119,327,36
1654,160,255,98
1775,98,283,56
1283,202,314,87
2879,180,210,118
1141,113,349,142
1867,154,256,33
2436,164,211,48
2044,127,218,125
1974,161,141,57
1233,163,106,84
3152,110,384,50
1531,156,172,74
1477,83,111,111
2403,199,308,138
1623,82,305,61
2259,72,238,46
1632,145,311,119
2761,168,171,126
2298,82,179,140
2684,55,139,91
3331,100,161,142
2849,110,316,62
2290,194,279,28
2279,90,146,80
1897,194,222,83
3068,200,116,88
1623,84,161,54
1108,59,420,70
851,135,287,75
2317,137,309,117
1410,157,210,149
2825,101,278,132
2785,128,348,141
1517,97,397,43
1615,151,359,49
2517,165,396,94
1247,127,274,107
1756,187,283,151
2026,70,196,79
1439,140,133,51
2514,111,342,44
2270,72,187,88
2564,193,204,21
1235,189,243,90
1168,117,191,38
1529,141,200,101
3066,132,75,85
933,85,207,151
2277,108,250,120
2264,135,130,135
1708,202,162,122
2673,66,356,56
1932,168,154,42
2195,80,380,118
1243,200,236,42
945,174,175,124
2514,137,294,41
1580,97,113,118
2933,128,230,141
2547,175,322,48
915,105,136,51
1135,91,373,75
2814,107,363,115
2259,97,201,129
1726,171,182,36
2925,128,184,54
1400,189,180,90
2818,125,295,46
2467,70,378,53
1109,160,130,39
3045,173,128,26
2776,107,346,90
3242,70,173,119
1886,106,248,55
1655,128,378,162
2193,154,112,93
1161,190,143,137
2751,127,299,118
2063,165,270,106
2374,87,404,111
1999,78,366,51
2330,174,127,113
3077,153,283,47
1701,94,273,103
3214,101,364,133
2790,185,245,155
2018,76,135,61
3258,100,364,81
3045,76,360,90
2429,176,122,49
1151,119,131,80
1490,190,323,34
983,67,250,133
2923,158,252,21
3197,88,180,139
1353,128,266,68
1976,145,211,150
2349,75,381,149
828,169,141,107
2783,200,122,157
1867,143,408,118
1966,123,141,127
1967,134,274,40
1603,84,403,74
2659,127,208,125
1505,184,147,26
2994,102,249,59
2335,134,364,158
3314,106,313,134
997,139,281,38
2905,137,114,45
2494,50,428,134
2876,165,332,31
2240,63,147,140
3025,94,291,118
1606,137,366,41
2676,115,150,126
2347,97,236,71
1465,140,78,114
946,62,68,61
2753,81,204,79
2765,197,285,91
2181,57,191,30
1707,71,287,98
1754,192,347,90
1148,88,151,122
2000,114,154,95
1558,166,199,84
1965,56,426,21
1044,169,421,82
1915,123,331,80
2506,52,277,87
2405,174,315,103
1414,214,288,160
1885,146,346,52
1081,152,259,128
1285,140,144,124
2456,86,145,154
2583,179,103,41
2807,69,342,65
1412,108,285,51
2804,177,215,74
1560,73,377,43
2956,99,179,139
1911,66,96,11
1702,185,234,136
1104,103,173,103
2244,147,392,28
3129,164,322,56
2939,161,109,133
2325,98,257,111
1938,139,140,111
1984,85,156,63
3192,168,339,89
2266,61,205,117
2033,100,432,159
1911,180,109,127
2074,126,289,102
2441,86,158,61
2859,121,217,49
2681,82,319,160
3029,86,178,50
2414,137,186,88
1621,137,400,55
1392,66,144,116
2572,148,157,87
2964,213,158,132
2776,207,307,159
2044,89,258,155
1988,160,357,38
3098,126,322,119
2763,192,310,93
1134,85,230,107
2951,173,302,97
2485,148,92,90
1099,76,182,93
1653,200,216,15
2001,56,325,135
1373,92,88,35
1456,186,330,36
1072,173,355,102
2166,45,165,104
2579,71,304,110
1949,178,186,128
1000,214,266,146
1729,103,228,19
2932,173,364,91
2880,105,90,60
3108,153,257,40
1871,123,410,36
2893,91,174,156
1489,84,295,146
2938,147,320,118
2505,83,358,39
1147,218,319,79
1403,189,299,144
2610,180,312,51
1360,198,79,78
1107,187,304,96
1820,187,272,127
2034,189,170,108
2973,152,325,95
1919,119,232,19
1114,190,129,39
1976,152,298,110
1130,80,432,108
1153,179,140,47
2017,171,158,103
2236,131,247,27
1728,135,391,43
1607,96,258,72
1648,129,339,104
2059,161,395,55
2854,190,144,55
2000,47,208,83
2617,89,404,79
2171,185,325,103
1082,172,97,137
1352,56,337,106
2684,93,168,62
3014,146,335,76
2290,69,129,79
1817,99,270,139
3222,195,114,108
1403,203,160,104
1205,107,281,72
1880,168,348,70
1528,138,179,105
2338,64,119,63
2503,111,397,68
1689,173,90,84
1386,144,132,113
1623,64,100,44
1631,141,182,116
1715,75,229,157
2461,138,173,81
3091,81,335,65
1112,129,370,37
2207,120,245,70
1978,88,239,113
1110,56,116,129
2899,155,80,30
1893,96,102,130
3111,142,274,75
1901,126,126,122
2100,54,298,63
1803,81,167,114
3031,148,347,136
1148,59,77,54
1379,183,311,107
2750,181,159,58
3236,149,145,60
2945,160,409,49
1408,154,281,118
1031,76,341,117
2552,201,284,83
1170,181,333,160
1156,195,267,20
1962,146,269,29
2118,134,303,117
2594,69,211,140
2666,133,135,71
2353,180,102,91
2048,151,298,149
2969,89,96,105
2035,199,315,26
1521,59,293,130
1475,69,184,143
1347,172,196,91
2618,109,226,78
2938,127,347,65
1875,44,108,43
1949,66,277,117
2969,179,345,138
2445,151,344,23
3200,68,386,57
2304,106,432,26
1717,128,387,47
2823,168,101,135
1079,182,366,37
3234,93,182,84
1696,93,211,146
2704,107,198,78
1427,128,257,45
1970,75,311,137
1249,140,322,26
1482,193,392,129
2361,187,220,139
1687,139,367,48
2020,169,115,47
1596,209,259,132
1525,56,137,88
2265,72,229,78
1986,172,328,97
1960,202,173,88
1754,86,237,65
2009,199,377,72
1331,84,193,73
2769,104,183,66
2816,124,314,53
2742,126,104,96
1553,130,292,33
2297,171,370,154
2009,125,174,59
1897,191,202,73
1784,61,405,113
2328,160,280,44
3023,98,181,79
2438,184,371,98
3147,86,206,131
2338,150,213,160
2739,91,280,24
2682,196,93,69
2851,102,213,65
1339,68,410,99
2123,200,305,113
1709,88,172,25
1171,145,230,21
3081,136,385,64
1115,120,373,70
3052,160,146,114
1411,67,204,84
1555,79,424,131
1909,125,393,140
1728,126,348,97
2808,199,143,101
2187,153,324,43
1058,113,384,40
985,187,287,50
2128,96,314,96
2174,133,106,50
2473,70,309,35
1154,144,285,140
2753,135,279,127
2219,180,206,57
2477,160,153,142
1752,127,223,41
2026,149,223,41
3078,186,203,125
1881,188,210,40
1983,150,401,84
1641,118,292,134
2424,183,223,101
2692,139,372,88
2496,128,213,144
3097,146,84,30
1946,86,99,68
1101,202,203,94
833,81,239,50
1316,166,292,161
2765,46,190,45
1298,164,97,90
1814,96,201,98
1985,134,345,88
2766,142,286,137
3013,114,224,62
2919,153,239,104
1201,115,423,105
2226,143,232,162
2955,76,357,117
3098,63,69,109
2449,188,191,101
3215,77,56,89
2767,138,397,64
1871,196,235,89
1578,153,311,96
1544,188,308,47
1955,100,358,112
1914,199,233,146
1856,157,253,42
3073,151,300,152
1661,109,382,154
1212,65,303,101
1806,153,244,80
2390,91,293,35
1286,74,272,141
2284,78,258,66
1202,183,211,48
1779,204,296,106
2695,200,279,78
1178,113,299,88
2344,181,87,125
2011,202,287,116
933,137,407,17
2552,78,257,95
2682,168,119,49
2435,127,145,34
1819,193,325,82
2353,63,347,86
1783,142,179,100
2392,126,157,73
2741,150,325,20
2022,82,365,136
2627,164,294,150
964,136,213,134
2964,86,329,143
3118,77,224,61
2349,141,233,44
1704,152,198,52
1179,168,179,107
2480,80,229,44
2979,54,157,35
2626,136,236,87
2419,72,105,102
1437,94,347,154
1993,99,223,124
1627,159,103,49
3053,138,288,51
1730,162,292,61
2893,40,380,34
1247,111,115,50
1720,149,309,82
1252,199,231,162
2856,205,235,73
1962,194,65,125
1377,159,118,85
1517,158,356,63
3118,146,263,37
2741,131,135,72
2263,79,330,92
2255,125,162,69
2940,144,140,86
1502,172,269,86
981,192,74,46
1517,170,291,142
1486,78,276,97
2537,134,174,25
2328,183,275,106
2486,142,262,58
1856,96,293,45
2983,170,397,145
1670,90,133,127
990,56,127,99
3258,78,278,14
1852,173,263,81
2178,151,197,47
2170,121,156,49
2227,139,83,111
2294,93,135,104
1210,75,356,88
1723,140,319,70
2016,123,172,71
2705,131,114,122
2866,79,282,110
1180,134,324,28
2962,78,237,107
1087,101,298,129
1342,65,203,142
2463,72,221,40
2500,109,398,77
1276,166,227,103
806,134,356,76
2985,94,279,37
2437,121,257,123
1631,63,224,98
1985,181,176,141
2367,63,240,152
1112,188,310,131
2166,64,142,79
